Tm,R,PA,H,HR,BB,SO,G,R_per_G,season
Arizona,856,6073,1407,206,541,1225,158,5.417721518987341,2024
"Arizona,Atlanta,Los Angeles",14,187,33,0,23,36,77,0.18181818181818182,2024
"Arizona,Miami",62,603,134,19,51,120,145,0.42758620689655175,2024
Atlanta,597,5205,1143,187,410,1260,164,3.6402439024390243,2024
"Atlanta,Boston,New York",11,88,9,0,14,24,42,0.2619047619047619,2024
"Atlanta,Cleveland",35,317,74,11,15,100,100,0.35,2024
"Atlanta,Detroit",34,467,108,9,23,74,130,0.26153846153846155,2024
"Atlanta,Los Angeles,Toronto",27,224,37,5,24,72,78,0.34615384615384615,2024
"Atlanta,Miami",4,35,8,0,3,8,16,0.25,2024
"Atlanta,Philadelphia",44,335,65,4,35,52,95,0.4631578947368421,2024
"Atlanta,San Francisco",85,582,121,22,69,143,144,0.5902777777777778,2024
"Atlanta,Washington",33,319,52,10,16,77,91,0.3626373626373626,2024
Baltimore,733,5725,1278,222,462,1248,161,4.552795031055901,2024
"Baltimore,Chicago",25,349,77,6,22,70,98,0.25510204081632654,2024
"Baltimore,Cincinnati",1,16,3,0,3,3,13,0.07692307692307693,2024
"Baltimore,Cincinnati,San Francisco",24,214,38,2,26,61,85,0.2823529411764706,2024
"Baltimore,Miami",71,706,145,17,54,207,124,0.5725806451612904,2024
"Baltimore,Miami,Philadelphia",13,183,33,1,17,64,88,0.14772727272727273,2024
"Baltimore,Philadelphia",26,259,60,5,9,62,87,0.2988505747126437,2024
"Baltimore,San Francisco",4,15,3,2,1,5,13,0.3076923076923077,2024
Boston,706,5643,1304,184,445,1430,160,4.4125,2024
"Boston,Chicago",6,116,22,1,7,35,36,0.16666666666666666,2024
"Boston,Cincinnati",33,307,64,6,28,76,93,0.3548387096774194,2024
"Boston,New York",5,64,11,0,3,19,22,0.22727272727272727,2024
"Boston,Toronto",37,336,57,9,43,66,90,0.4111111111111111,2024
Chicago,1047,9912,2109,246,767,2254,153,6.8431372549019605,2024
"Chicago,Houston",4,72,12,0,4,28,24,0.16666666666666666,2024
"Chicago,Kansas City",54,482,101,24,23,156,139,0.38848920863309355,2024
"Chicago,Kansas City,St. Louis",51,494,114,9,35,109,122,0.4180327868852459,2024
"Chicago,Kansas City,Texas",21,245,44,3,34,58,87,0.2413793103448276,2024
"Chicago,Los Angeles",60,551,96,13,41,126,100,0.6,2024
"Chicago,Miami",18,147,29,5,5,36,62,0.2903225806451613,2024
"Chicago,New York",15,145,26,4,5,37,49,0.30612244897959184,2024
"Chicago,Tampa Bay",120,1252,234,40,137,264,153,0.7843137254901961,2024
"Chicago,Washington",25,267,46,7,28,61,74,0.33783783783783783,2024
Cincinnati,669,5662,1169,168,479,1387,160,4.18125,2024
"Cincinnati,Los Angeles,Tampa Bay",29,346,93,3,9,73,103,0.2815533980582524,2024
"Cincinnati,Milwaukee",2,28,4,0,2,9,21,0.09523809523809523,2024
"Cincinnati,Seattle",46,535,112,13,38,114,140,0.32857142857142857,2024
Cleveland,713,5997,1292,184,475,1176,168,4.244047619047619,2024
"Cleveland,Washington",83,739,163,20,58,187,140,0.5928571428571429,2024
Colorado,656,5699,1237,174,436,1553,157,4.178343949044586,2024
"Colorado,San Diego",27,352,86,6,20,70,97,0.27835051546391754,2024
Detroit,613,5367,1132,145,427,1370,155,3.9548387096774196,2024
"Detroit,Philadelphia",3,26,4,1,4,7,13,0.23076923076923078,2024
"Detroit,San Francisco",46,462,95,7,51,96,125,0.368,2024
"Detroit,Texas",32,313,67,9,25,55,91,0.3516483516483517,2024
Houston,710,5922,1408,183,430,1110,159,4.465408805031447,2024
"Houston,Los Angeles",33,261,48,10,22,55,89,0.3707865168539326,2024
"Houston,New York",22,99,20,1,18,24,38,0.5789473684210527,2024
"Houston,Oakland",2,34,3,0,1,9,14,0.14285714285714285,2024
"Houston,Toronto",24,262,52,4,13,95,80,0.3,2024
Kansas City,722,5921,1333,164,425,1122,167,4.323353293413174,2024
Los Angeles,1463,11943,2598,404,1094,2667,175,8.36,2024
"Los Angeles,New York",2,8,1,0,1,3,10,0.2,2024
"Los Angeles,San Diego,San Francisco",20,228,48,2,11,51,71,0.28169014084507044,2024
"Los Angeles,Tampa Bay",2,33,3,0,3,10,13,0.15384615384615385,2024
"Los Angeles,Toronto",33,283,51,5,12,87,118,0.2796610169491525,2024
Miami,406,3736,853,88,240,835,149,2.7248322147651005,2024
"Miami,New York",79,682,154,26,57,166,161,0.4906832298136646,2024
"Miami,Oakland",0,31,3,0,3,16,15,0.0,2024
"Miami,Pittsburgh",61,622,136,21,29,170,149,0.40939597315436244,2024
"Miami,San Diego",87,703,207,4,24,30,157,0.554140127388535,2024
"Miami,San Francisco,Texas",19,172,39,7,5,56,53,0.3584905660377358,2024
Milwaukee,786,6249,1381,182,601,1471,164,4.7926829268292686,2024
Minnesota,742,6123,1352,183,473,1306,158,4.69620253164557,2024
New York,1636,12905,2802,459,1266,2820,175,9.348571428571429,2024
"New York,Oakland",13,157,31,4,12,39,46,0.2826086956521739,2024
"New York,Washington",70,540,116,15,70,110,155,0.45161290322580644,2024
Oakland,629,5845,1232,192,480,1452,159,3.9559748427672954,2024
Philadelphia,757,5926,1373,196,501,1321,166,4.5602409638554215,2024
Pittsburgh,627,5703,1201,156,478,1413,156,4.019230769230769,2024
"Pittsburgh,Toronto",53,496,125,8,16,78,133,0.39849624060150374,2024
San Diego,723,5761,1336,196,453,1093,165,4.381818181818182,2024
San Francisco,603,5282,1143,163,412,1265,154,3.9155844155844157,2024
Seattle,549,4993,957,163,477,1381,153,3.588235294117647,2024
"Seattle,Tampa Bay",77,648,120,20,73,169,154,0.5,2024
"Seattle,Toronto",66,605,134,12,62,112,139,0.4748201438848921,2024
"Seattle,Washington",44,295,78,4,21,53,91,0.4835164835164835,2024
St. Louis,653,5899,1325,163,459,1265,154,4.240259740259741,2024
"St. Louis,Tampa Bay",19,265,49,3,22,75,96,0.19791666666666666,2024
Tampa Bay,454,4389,892,107,361,1135,145,3.1310344827586207,2024
"Tampa Bay,Washington",28,246,62,2,5,50,73,0.3835616438356164,2024
Texas,654,5776,1242,168,464,1230,159,4.113207547169812,2024
Toronto,514,4644,1010,127,399,915,159,3.2327044025157234,2024
Washington,492,4507,1002,98,317,892,150,3.28,2024
